Instance_number,Topic,TopicKnowledge,OverAllTopicKnowledge,QuizWiseTopicKnowledge,AdvanceTopicKnowledge,OverAllAdvanceTopicKnowledge,QuizWiseAdvanceTopicKnowledge,EasyTopicKnowledge,OverAllEasyTopicKnowledge,QuizWiseEasyTopicKnowledge,Knowledge,OverAllKnowledge,QuizWiseKnowledge,AdvancedKnowledge,OverAllAdvancedKnowledge,QuizWiseAdvancedKnowledge,EasyKnowledge,OverAllEasyKnowledge,QuizWiseEasyKnowledge,OverallInteractionData,QuizWiseInteractionData,ActiveOrReflective,SensoryOrIntuitive,VisualOrVerbal,SequentialOrGlobal,Recommendation,Cluster
73,'assertions advanced',0,0,0,0,0,0,0,0,0,0.668904,0.941995,0.395813,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster3
74,'classes easy',0.007813,0,0.015625,0,0,0,0.015625,0,0.03125,0.68531,0.966995,0.403625,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster3
75,'declarations and access control advanced',0.007813,0,0.015625,0,0,0,0.015625,0,0.03125,0.68531,0.966995,0.403625,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://www.jchq.net/certkey/0101certkey.htm,cluster3
76,'garbage collection easy',0,0,0,0,0,0,0,0,0,0.684529,0.966995,0.402063,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
77,'garbage collection advanced',0,0,0,0,0,0,0,0,0,0.684529,0.966995,0.402063,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,https://plumbr.eu/handbook/what-is-garbage-collection,cluster3
78,'objects and collections advanced',0,0,0,0,0,0,0,0,0,0.684529,0.966995,0.402063,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://beginnersbook.com/java-collections-tutorials/,cluster3
79,'objects and collections easy',0,0,0,0,0,0,0,0,0,0.684529,0.966995,0.402063,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://beginnersbook.com/java-collections-tutorials/,cluster3
80,'flow control advanced',0,0,0,0,0,0,0,0,0,0.315384,0.547203,0.083564,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,https://javatutorial.net/java-control-flow-statements,cluster5
81,'flow control easy',0,0,0,0,0,0,0,0,0,0.315384,0.547203,0.083564,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,https://javatutorial.net/java-control-flow-statements,cluster5
82,'exceptions easy',0,0,0,0,0,0,0,0,0,0.315384,0.547203,0.083564,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,http://rymden.nu/exceptions.html,cluster5
83,'threads advanced',0,0,0,0,0,0,0,0,0,0.315384,0.547203,0.083564,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,?,cluster5
84,'core easy',0,0,0,0,0,0,0,0,0,0.315384,0.547203,0.083564,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,http://www.tutorialspoint.com/java/java_inheritance.htm,cluster5
85,'declarations and access control easy',0,0,0,0,0,0,0,0,0,0.315384,0.547203,0.083564,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,http://www.jchq.net/certkey/0101certkey.htm,cluster5
86,'operators and assignments advanced',0,0,0,0,0,0,0,0,0,0.315384,0.547203,0.083564,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,http://www.wideskills.com/java-tutorial/java-operators-tutorial,cluster5
87,'inner classes easy',0.0625,0,0.125,0,0,0,0.125,0,0.25,0.371634,0.597203,0.146064,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster5
88,'assertions easy',0,0,0,0,0,0,0,0,0,0.365384,0.597203,0.133564,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,?,cluster5
89,'assertions advanced',0,0,0,0,0,0,0,0,0,0.365384,0.597203,0.133564,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster5
90,'classes easy',0.042969,0,0.085938,0,0,0,0.085938,0,0.171875,0.405618,0.634703,0.176533,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster5
91,'declarations and access control advanced',0.042969,0,0.085938,0,0,0,0.085938,0,0.171875,0.430618,0.684703,0.176533,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,http://www.jchq.net/certkey/0101certkey.htm,cluster5
92,'garbage collection easy',0,0,0,0,0,0,0,0,0,0.426321,0.684703,0.167939,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,https://plumbr.eu/handbook/what-is-garbage-collection,cluster5
93,'garbage collection advanced',0,0,0,0,0,0,0,0,0,0.426321,0.684703,0.167939,0.04321,0.027778,0.058642,0.040527,0.046875,0.03418,0.05,0.05,ACTIVE,INTUITIVE,VISUAL,GLOBAL,https://plumbr.eu/handbook/what-is-garbage-collection,cluster5
