topic,topicKnowledge,overAllTopicKnowledge,quizWiseTopicKnowledge,advanceTopicKnowledge,overAllAdvanceTopicKnowledge,quizWiseAdvanceTopicKnowledge,easyTopicKnowledge,overAllEasyTopicKnowledge,quizWiseEasyTopicKnowledge,knowledge,overAllKnowledge,quizWiseKnowledge,advancedKnowledge,overAllAdvancedKnowledge,quizWiseAdvancedKnowledge,easyKnowledge,overAllEasyKnowledge,quizWiseEasyKnowledge,timeSpentViewingMaterial,overAllAttemptAverage,quizWiseAttemptAverage,activeOrReflective,sensoryOrIntuitive,visualOrVerbal,sequentialOrGlobal,recommendation
core,0,0,0,0,0,0,0,0,0,0.64348528,1.220797721,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.25,0.5,0,0.25,0.5,0,0.25,0.5,0,0.754596391,1.443019943,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.jchq.net/certkey/0101certkey.htm
operators and assignments,0.125,0.25,0,0,0,0,0.25,0.5,0,0.796263058,1.526353276,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.125,0.25,0,0,0,0,0.25,0.5,0,0.851818613,1.637464387,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
assertions,0,0,0,0,0,0,0,0,0,0.837929725,1.60968661,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.javatpoint.com/assertion-in-java
classes,0.125,0.25,0,0,0,0,0.25,0.5,0,0.907374169,1.748575499,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
garbage collection,0.125,0.25,0,0.25,0.5,0,0,0,0,0.962929725,1.85968661,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,https://plumbr.eu/handbook/what-is-garbage-collection
objects and collections,0.1875,0.25,0.125,0,0,0,0.375,0.5,0.25,1.034688984,1.970797721,0.098580247,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://beginnersbook.com/java-collections-tutorials/
flow control,0.125,0.25,0,0,0,0,0.25,0.5,0,0.576355651,1.123575499,0.029135802,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,https://javatutorial.net/java-control-flow-statements
exceptions,0.3125,0.5,0.125,0.375,0.5,0.25,0.25,0.5,0,0.662003799,1.262464387,0.06154321,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,https://www.youtube.com/watch?v=4my7mKFaNQs
threads,0.0625,0,0.125,0,0,0,0.125,0,0.25,0.650429725,1.220797721,0.080061728,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0,0,0,0,0,0,0,0,0,0.64348528,1.220797721,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.25,0.5,0,0.25,0.5,0,0.25,0.5,0,0.754596391,1.443019943,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.jchq.net/certkey/0101certkey.htm
operators and assignments,0.125,0.25,0,0,0,0,0.25,0.5,0,0.796263058,1.526353276,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.125,0.25,0,0,0,0,0.25,0.5,0,0.851818613,1.637464387,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
assertions,0,0,0,0,0,0,0,0,0,0.837929725,1.60968661,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.javatpoint.com/assertion-in-java
classes,0.125,0.25,0,0,0,0,0.25,0.5,0,0.907374169,1.748575499,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
garbage collection,0.125,0.25,0,0.25,0.5,0,0,0,0,0.962929725,1.85968661,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,https://plumbr.eu/handbook/what-is-garbage-collection
objects and collections,0.1875,0.25,0.125,0,0,0,0.375,0.5,0.25,1.034688984,1.970797721,0.098580247,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://beginnersbook.com/java-collections-tutorials/
flow control,0.125,0.25,0,0,0,0,0.25,0.5,0,0.576355651,1.123575499,0.029135802,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,https://javatutorial.net/java-control-flow-statements
exceptions,0.3125,0.5,0.125,0.375,0.5,0.25,0.25,0.5,0,0.662003799,1.262464387,0.06154321,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,https://www.youtube.com/watch?v=4my7mKFaNQs
threads,0.0625,0,0.125,0,0,0,0.125,0,0.25,0.650429725,1.220797721,0.080061728,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0,0,0,0,0,0,0,0,0,0.64348528,1.220797721,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.25,0.5,0,0.25,0.5,0,0.25,0.5,0,0.754596391,1.443019943,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.jchq.net/certkey/0101certkey.htm
operators and assignments,0.125,0.25,0,0,0,0,0.25,0.5,0,0.796263058,1.526353276,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.125,0.25,0,0,0,0,0.25,0.5,0,0.851818613,1.637464387,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
assertions,0,0,0,0,0,0,0,0,0,0.837929725,1.60968661,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.javatpoint.com/assertion-in-java
classes,0.125,0.25,0,0,0,0,0.25,0.5,0,0.907374169,1.748575499,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
garbage collection,0.125,0.25,0,0.25,0.5,0,0,0,0,0.962929725,1.85968661,0.06617284,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,https://plumbr.eu/handbook/what-is-garbage-collection
objects and collections,0.1875,0.25,0.125,0,0,0,0.375,0.5,0.25,1.034688984,1.970797721,0.098580247,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://beginnersbook.com/java-collections-tutorials/
flow control,0,0,0,0,0,0,0,0,0,0.549501425,1.099002849,0,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,https://javatutorial.net/java-control-flow-statements
exceptions,0,0,0,0,0,0,0,0,0,0.595797721,1.191595442,0,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,https://www.youtube.com/watch?v=4my7mKFaNQs
threads,0,0,0,0,0,0,0,0,0,0.630519943,1.261039886,0,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0,0,0,0,0,0,0,0,0,0.630519943,1.261039886,0,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.1875,0,0.375,0.25,0,0.5,0.125,0,0.25,0.893363658,1.344373219,0.442354097,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,http://www.jchq.net/certkey/0101certkey.htm
operators and assignments,0.1875,0,0.375,0.25,0,0.5,0.125,0,0.25,0.948919214,1.45548433,0.442354097,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.1875,0,0.375,0.25,0,0.5,0.125,0,0.25,1.004474769,1.566595442,0.442354097,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
assertions,0.1875,0,0.375,0.25,0,0.5,0.125,0,0.25,1.004474769,1.566595442,0.442354097,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,http://www.javatpoint.com/assertion-in-java
classes,0.1875,0,0.375,0.25,0,0.5,0.125,0,0.25,1.060030325,1.677706553,0.442354097,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
garbage collection,0.1875,0,0.375,0.25,0,0.5,0.125,0,0.25,1.11558588,1.788817664,0.442354097,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,https://plumbr.eu/handbook/what-is-garbage-collection
objects and collections,0,0,0,0,0,0,0,0,0,1.094752547,1.788817664,0.40068743,0.402777778,0.416666667,0.388888889,0.225852273,0.375,0.076704545,0,2,2,-11,-11,-11,-11,http://beginnersbook.com/java-collections-tutorials/
flow control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522881054131054,1.045762108262108,0.0,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,https://javatutorial.net/java-control-flow-statements
exceptions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691773504273504,1.1383547008547008,0.0,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,https://www.youtube.com/watch?v=4my7mKFaNQs
threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5900106837606837,1.1800213675213673,0.0,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5900106837606837,1.1800213675213673,0.0,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.21875,0.0,0.4375,0.1875,0.0,0.375,0.25,0.0,0.5,0.8663767752309418,1.2772435897435896,0.455509960718294,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,http://www.jchq.net/certkey/0101certkey.htm
operators and assignments,0.21875,0.0,0.4375,0.1875,0.0,0.375,0.25,0.0,0.5,0.8941545530087196,1.3327991452991452,0.455509960718294,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.21875,0.0,0.4375,0.1875,0.0,0.375,0.25,0.0,0.5,0.9358212196753862,1.4161324786324785,0.455509960718294,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
assertions,0.21875,0.0,0.4375,0.1875,0.0,0.375,0.25,0.0,0.5,0.9358212196753862,1.4161324786324785,0.455509960718294,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,http://www.javatpoint.com/assertion-in-java
classes,0.21875,0.0,0.4375,0.1875,0.0,0.375,0.25,0.0,0.5,0.9844323307864974,1.5133547008547008,0.455509960718294,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
garbage collection,0.21875,0.0,0.4375,0.1875,0.0,0.375,0.25,0.0,0.5,1.026098997453164,1.596688034188034,0.455509960718294,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,https://plumbr.eu/handbook/what-is-garbage-collection
objects and collections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0017934418976084,1.596688034188034,0.4068988496071829,0.375,0.375,0.375,0.18635574494949494,0.3020833333333333,0.07062815656565656,0,4.0,4.0,-11,-11,-11,-11,http://beginnersbook.com/java-collections-tutorials/
flow control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43620086376886147,0.6739969135802469,0.198404813957476,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,https://javatutorial.net/java-control-flow-statements
exceptions,0.125,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.4778675304355281,0.6739969135802469,0.2817381472908093,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://beginnersbook.com/2013/04/java-exception-handling/
threads,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.5056453082133059,0.6739969135802469,0.33729370284636484,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.491756419324417,0.6739969135802469,0.30951592506858705,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.0625,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.0,0.5473119748799726,0.7017746913580247,0.3928492584019204,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://beginnersbook.com/2013/05/java-access-modifiers/
operators and assignments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5959230859910837,0.7017746913580247,0.49007148062414263,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.0625,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.25,0.6584230859910837,0.7573302469135803,0.559515925068587,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://www.javaworld.com/article/2979739/learn-java/java-101-classes-and-objects-in-java.html
assertions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7070341971021947,0.7573302469135803,0.6567381472908093,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://www.javatpoint.com/assertion-in-java
classes,0.04296875,0.0,0.0859375,0.0,0.0,0.0,0.0859375,0.0,0.171875,0.7517390582133059,0.7989969135802469,0.7044812028463648,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://www.javaworld.com/article/2979739/learn-java/java-101-classes-and-objects-in-java.html
garbage collection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8025203082133059,0.7989969135802469,0.8060437028463648,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://javarevisited.blogspot.com/2011/04/garbage-collection-in-java.html
objects and collections,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.8441869748799725,0.7989969135802469,0.8893770361796981,0.043209876543209874,0.027777777777777776,0.05864197530864197,0.04052734375,0.046875,0.0341796875,0,2.0,2.0,1,-9,1,-1,http://www.javatpoint.com/collections-in-java
flow control,0.125,0.0,0.25,0.125,0.0,0.25,0.125,0.0,0.25,0.4061069315843622,0.738425925925926,0.07378793724279836,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,https://javatutorial.net/java-control-flow-statements
exceptions,0.078125,0.0,0.15625,0.15625,0.0,0.3125,0.0,0.0,0.0,0.431762795781893,0.7569444444444445,0.10658114711934157,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://beginnersbook.com/2013/04/java-exception-handling/
threads,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.4647489068930042,0.7569444444444445,0.1725533693415638,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45086001800411524,0.7569444444444445,0.144775591563786,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5064155735596708,0.7569444444444445,0.2558867026748971,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://beginnersbook.com/2013/05/java-access-modifiers/
operators and assignments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5619711291152264,0.7569444444444445,0.3669978137860082,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5619711291152264,0.7569444444444445,0.3669978137860082,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://www.javaworld.com/article/2979739/learn-java/java-101-classes-and-objects-in-java.html
assertions,0.0625,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.0,0.617526684670782,0.7847222222222223,0.4503311471193416,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://www.javatpoint.com/assertion-in-java
classes,0.03515625,0.0,0.0703125,0.0,0.0,0.0,0.0703125,0.0,0.140625,0.6370579346707819,0.7986111111111112,0.4755047582304527,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://www.javaworld.com/article/2979739/learn-java/java-101-classes-and-objects-in-java.html
garbage collection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6887072402263374,0.7986111111111112,0.5788033693415637,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://javarevisited.blogspot.com/2011/04/garbage-collection-in-java.html
objects and collections,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.7303739068930042,0.7986111111111112,0.6621367026748971,0.06712962962962962,0.08333333333333333,0.05092592592592592,0.031184895833333334,0.03125,0.031119791666666667,0,2.0,2.0,-11,-7,-11,-9,http://www.wideskills.com/java-tutorial/java-collections-framework
flow control,0.078125,0.03125,0.125,0.0625,0.0,0.125,0.09375,0.0625,0.125,0.493402913768202,0.8374065170940171,0.14939931044238686,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,https://javatutorial.net/java-control-flow-statements
exceptions,0.24166666666666667,0.278125,0.20520833333333333,0.48333333333333334,0.55625,0.41041666666666665,0.0,0.0,0.0,0.5520063088299304,0.8953926282051283,0.20861998945473254,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://beginnersbook.com/2013/04/java-exception-handling/
threads,0.17916666666666667,0.028125,0.3302083333333333,0.125,0.0,0.25,0.23333333333333334,0.05625,0.41041666666666665,0.5804013705583254,0.8879852207977208,0.27281752031893003,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560493963150918,0.8848602207977208,0.23612770550411522,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.046875,0.03125,0.0625,0.09375,0.0625,0.125,0.0,0.0,0.0,0.6328319261138811,0.9230546652421653,0.3426091869855967,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://beginnersbook.com/2013/05/java-access-modifiers/
operators and assignments,0.03125,0.0,0.0625,0.0625,0.0,0.125,0.0,0.0,0.0,0.7121143335212884,0.9820824430199431,0.4421462240226337,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://www.wideskills.com/java-tutorial/java-operators-tutorial
